		  NONPERIODIC TEMPLATES TEST
-------------------------------------------------------------------------------------
		  COMPUTATIONAL INFORMATION
-------------------------------------------------------------------------------------
	LAMBDA = 0.472656	M = 250	N = 8	m = 9	n = 2000
-------------------------------------------------------------------------------------
		F R E Q U E N C Y
Template   W_1  W_2  W_3  W_4  W_5  W_6  W_7  W_8    Chi^2   P_value Assignment Index
-------------------------------------------------------------------------------------
000000001    0    0    0    1    0    0    0    0  3.901802 0.865873 SUCCESS   0
000000011    1    1    0    1    0    0    0    1  4.249341 0.833955 SUCCESS   1
000000101    0    0    0    0    0    0    1    0  3.901802 0.865873 SUCCESS   2
000000111    2    0    0    0    0    0    0    0  8.254319 0.409030 SUCCESS   3
000001001    1    0    0    1    1    0    0    0  4.133495 0.844883 SUCCESS   4
000001011    0    1    1    1    0    0    0    1  4.249341 0.833955 SUCCESS   5
000001101    0    2    0    0    0    0    1    1  8.486012 0.387489 SUCCESS   6
000001111    2    0    0    0    0    0    0    0  8.254319 0.409030 SUCCESS   7
000010001    0    1    0    0    0    1    1    1  4.249341 0.833955 SUCCESS   8
000010011    1    0    0    1    1    0    0    0  4.133495 0.844883 SUCCESS   9
000010101    0    0    0    1    2    0    1    0  8.486012 0.387489 SUCCESS  10
000010111    0    1    1    1    1    0    0    0  4.249341 0.833955 SUCCESS  11
000011001    0    0    2    3    0    1    0    1 21.543564 0.005835 FAILURE  12
000011011    1    1    0    0    1    1    0    0  4.249341 0.833955 SUCCESS  13
000011101    0    0    0    1    0    0    1    1  4.133495 0.844883 SUCCESS  14
000011111    1    0    0    0    0    0    1    0  4.017648 0.855528 SUCCESS  15
000100011    0    2    0    0    0    0    0    1  8.370166 0.398171 SUCCESS  16
000100101    1    0    0    0    0    2    0    0  8.370166 0.398171 SUCCESS  17
000100111    1    1    0    1    1    0    0    0  4.249341 0.833955 SUCCESS  18
000101001    1    0    0    0    0    3    1    0 17.075200 0.029335 SUCCESS  19
000101011    0    0    1    1    2    0    0    1  8.601859 0.376987 SUCCESS  20
000101101    1    0    0    1    0    0    1    1  4.249341 0.833955 SUCCESS  21
000101111    0    2    0    0    1    0    0    0  8.370166 0.398171 SUCCESS  22
000110011    1    0    1    2    0    1    2    1 13.186069 0.105606 SUCCESS  23
000110101    0    1    0    1    0    1    1    1  4.365188 0.822764 SUCCESS  24
000110111    1    1    0    0    0    1    0    1  4.249341 0.833955 SUCCESS  25
000111001    0    0    0    1    0    1    0    0  4.017648 0.855528 SUCCESS  26
000111011    0    0    0    1    1    0    0    0  4.017648 0.855528 SUCCESS  27
000111101    3    0    1    0    0    1    0    1 17.191046 0.028180 SUCCESS  28
000111111    0    0    0    0    0    0    0    0  3.785956 0.875900 SUCCESS  29
001000011    0    1    1    2    0    2    1    0 13.070222 0.109456 SUCCESS  30
001000101    0    1    1    0    0    2    1    1  8.717705 0.366667 SUCCESS  31
001000111    0    0    0    0    1    0    1    0  4.017648 0.855528 SUCCESS  32
001001011    0    0    0    0    0    1    0    0  3.901802 0.865873 SUCCESS  33
001001101    0    1    0    1    0    1    0    0  4.133495 0.844883 SUCCESS  34
001001111    0    0    0    1    0    0    0    0  3.901802 0.865873 SUCCESS  35
001010011    0    0    0    0    0    2    0    1  8.370166 0.398171 SUCCESS  36
001010101    3    0    0    0    0    0    0    0 16.843507 0.031781 SUCCESS  37
001010111    0    0    3    1    1    1    0    1 17.306893 0.027067 SUCCESS  38
001011011    1    0    0    0    0    1    1    0  4.133495 0.844883 SUCCESS  39
001011101    0    0    0    1    1    0    1    1  4.249341 0.833955 SUCCESS  40
001011111    0    0    1    0    0    0    0    1  4.017648 0.855528 SUCCESS  41
001100101    2    0    1    0    1    0    0    0  8.486012 0.387489 SUCCESS  42
001100111    1    0    1    0    0    1    1    0  4.249341 0.833955 SUCCESS  43
001101011    0    1    0    0    0    1    0    0  4.017648 0.855528 SUCCESS  44
001101101    0    1    0    0    1    1    0    1  4.249341 0.833955 SUCCESS  45
001101111    0    1    0    0    0    1    0    0  4.017648 0.855528 SUCCESS  46
001110101    1    0    0    0    1    0    0    0  4.017648 0.855528 SUCCESS  47
001110111    0    1    0    2    1    1    0    1  8.717705 0.366667 SUCCESS  48
001111011    1    0    1    0    0    1    0    2  8.601859 0.376987 SUCCESS  49
001111101    1    1    0    0    1    2    1    0  8.717705 0.366667 SUCCESS  50
001111111    0    0    1    0    0    0    1    0  4.017648 0.855528 SUCCESS  51
010000011    0    1    2    1    0    1    1    0  8.717705 0.366667 SUCCESS  52
010000111    0    0    1    2    0    2    1    0 12.954376 0.113429 SUCCESS  53
010001011    1    1    0    0    1    0    0    0  4.133495 0.844883 SUCCESS  54
010001111    0    0    0    1    0    0    1    1  4.133495 0.844883 SUCCESS  55
010010011    1    0    0    1    0    0    0    0  4.017648 0.855528 SUCCESS  56
010010111    0    1    0    1    0    0    1    1  4.249341 0.833955 SUCCESS  57
010011011    0    1    0    0    0    1    0    0  4.017648 0.855528 SUCCESS  58
010011111    0    0    0    0    1    1    1    0  4.133495 0.844883 SUCCESS  59
010100011    0    0    0    0    0    0    2    0  8.254319 0.409030 SUCCESS  60
010100111    0    1    0    1    0    1    1    1  4.365188 0.822764 SUCCESS  61
010101011    3    0    0    0    1    0    1    0 17.075200 0.029335 SUCCESS  62
010101111    0    0    1    2    1    1    0    0  8.601859 0.376987 SUCCESS  63
010110011    1    1    0    1    0    0    1    0  4.249341 0.833955 SUCCESS  64
010110111    2    0    0    0    0    1    0    0  8.370166 0.398171 SUCCESS  65
010111011    0    1    1    1    2    0    0    0  8.601859 0.376987 SUCCESS  66
