a2d_outn X,a2d_outn Logic
0,1
2.022831111845952e-06,0
4.017600000002745e-06,1
6.022789728305671e-06,0
8.017625380882025e-06,1
1.002283418435882e-05,0
1.201762490209885e-05,1
1.802271799624566e-05,0
2.001761587760793e-05,1
2.602280825242614e-05,0
2.801765903700789e-05,1
5.402287393925889e-05,0
5.601766526839059e-05,1
5.802291472830734e-05,0
6.001759999812654e-05,1
6.202274008029628e-05,0
6.401759999826846e-05,1
7.802281656534288e-05,0
8.001761048913386e-05,1
8.602279279766692e-05,0
8.801756248143362e-05,1
9.002271807637745e-05,0
9.20175500002272e-05,1
9.802287199912329e-05,0
0.0001,0
