a2d_outn1 X,a2d_outn1 Logic
0,1
6.022756917612592e-06,0
8.017600000011516e-06,1
1.402284039293471e-05,0
1.601766472138717e-05,1
2.202279727727804e-05,0
2.401762670943406e-05,1
3.002270820263464e-05,0
3.201758394573768e-05,1
4.202283531341769e-05,0
4.401767826934674e-05,1
4.602278195253315e-05,0
4.801756772330128e-05,1
6.20227641966344e-05,0
6.401762490066555e-05,1
6.602279219105355e-05,0
6.801761529733982e-05,1
7.40228157941074e-05,0
7.60176414352362e-05,1
7.802285527689929e-05,0
8.001762039480548e-05,1
8.202274102818584e-05,0
8.401765691792284e-05,1
0.0001,1
